Account Domain,Domena konta
New ShareFlags,Nowe flagi udziału
New State,Nowy stan
New Time,Nowy czas
New Token Information,Informacje o nowym tokenie
New UAC Value,Nowa wartość UAC
Object Name,Nazwa obiektu
Object Server,Serwer obiektu
Object Type,Typ obiektu
Object,Obiekt
OEM Information,Informacje OEM
Old Account Name,Stara nazwa konta
Old DN,Stara nazwa wyróżniająca
Old MaxUsers,Stara maksymalna liczba użytkowników
Old Remark,Stara uwaga
Old SD,Stary opis udziału
Old ShareFlags,Stare flagi udziału
Old UAC Value,Stara wartość UAC
Operation,Operacja
Original Security Descriptor,Oryginalny deskryptor zabezpieczeń
OS-Version,Wersja systemu operacyjnego
Package Name (NTLM only),Nazwa pakietu (tylko NTLM)
Package Name (NTLM only),Nazwa pakietu (tylko protokół NTLM)
Password History Length,Długość historii haseł
Password Last Set,Hasło ostatnio ustawiono
Password Properties,Właściwości hasła
Permissions Change,Zmiana uprawnień
Pre-Authentication Type,Typ wstępnego uwierzytelniania
Previous Time,Poprzedni czas
Primary Group ID,Identyfikator grupy podstawowej
Privileges,Uprawnienia
Process Command Line,Wiersz polecenia procesu
Process ID,Identyfikator procesu
Process Information,Informacje dotyczące procesu
Process Information,Informacje o procesie
Process Name,Nazwa procesu
Process,Proces
Profile Path,Ścieżka profilu
Protocol,Protokół
Proxy Policy Name,Nazwa zasady serwera proxy
Quarantine Grace Time,Okres prolongaty kwarantanny
Quarantine Information,Informacje o kwarantannie
RADIUS Client,Klient RADIUS
RADIUS Client,Klient usługi RADIUS
Read Operation,tOperacja odczytu
Reason Code,Kod przyczyny
Reason,Przyczyna
Resource Manager,Menedżer zasobów
Restricted Admin Mode,Ograniczony tryb administratora
Result Code,Kod wyniku
Result,Wynik
RM Transaction ID,Identyfikator transakcji menedżera zasobów
SAM Account Name,Nazwa konta SAM
Script Path,Ścieżka skryptów
Security ID,Identyfikator zabezpieczeń
Server Information,Informacje dotyczące serwera
Server Names,Nazwy serwera
Service ID,Identyfikator usługi
Service Information,Informacje dotyczące usługi
Service Name,Nazwa usługi
Service Principal Names,Główne nazwy usług
Session ID,Identyfikator sesji
Session Identifier,Identyfikator sesji
Share Information,Informacje dotyczące udziału
Share Name,Nazwa udziału
Share Path,Ścieżka udziału
SID History,Historia identyfikatora SID
SID List,Lista identyfikatorów SID
Signature Settings,Ustawienia podpisu
Source Address,Adres źródłowy
Source Network Address,Adres źródłowy sieci
Source Network Address,Źródłowy adres sieciowy
Source Port,Port źródłowy
Source Workstation,Źródłowa stacja robocza
SPN Name,Nazwa SPN
SPN,Nazwa SPN
Status,Stan
Sub Status,Stan podrzędny
Subject,Podmiot
Subject,Temat
Supplied Realm Name,Podana nazwa obszaru
Syntax (OID),Składnia (identyfikator OID)
Syntax (OID),Składnia (OID)
System Event Logging,Rejestrowanie zdarzeń systemowych
System Health Validator Result(s),Wyniki sprawdzania kondycji systemu
Target Account,Konto docelowe
Target Computer,Komputer docelowy
Target Process ID,Identyfikator procesu docelowego
Target Process Name,Nazwa procesu docelowego
Target Process,Proces docelowy
Target Server Name,Nazwa serwera docelowego
Target Server,Serwer docelowy
Target Subject,Podmiot docelowy
Test Signing,Podpisywanie testowe
Ticket Encryption Type,Typ szyfrowania biletu
Ticket Options,Opcje biletu
Token Elevation Type,Typ podniesienia uprawnień tokenu
Transaction ID,Identyfikator transakcji
Transaction Information,Informacje dotyczące transakcji
Transited Services,Usługi przejściowe
Tree Delete,Usuwanie drzewa
Type,Typ
User Account Control,Kontrola konta użytkownika
User ID,Identyfikator użytkownika
User Name,Nazwa użytkownika
User Parameters,Parametry użytkownika
User Principal Name,Główna nazwa użytkownika
User Principal Name,Nazwa główna użytkownika
User Workstations,Stacje robocze użytkownika
User,Użytkownik
Value,Wartość
Vendor IDs,Identyfikatory dostawców
Vendor IDs,Identyfikatory sprzętu
Virtual Account,Konto wirtualne
VSM Launch Type,Typ uruchomienia VSM
Workstation Name,Nazwa stacji roboczej
