Object Type,Tipo di oggetto
Object Type,Tipo oggetto
Object,Oggetto
OEM Information,Informazioni OEM
Old Account Name,Vecchio nome account
Old DN,DN precedente
Old MaxUsers,Numero massimo utenti precedente
Old Remark,Commento precedente
Old SD,Descrittore di sicurezza precedente
Old ShareFlags,Contrassegni condivisione precedenti
Old UAC Value,Valore Controllo account utente precedente
Operation,Operazione
Original Security Descriptor,Descrittore di sicurezza originale
OS-Version,Versione sistema operativo
OS-Version,Versione-sistema operativo
Package Name (NTLM only),Nome pacchetto (solo NTLM)
Password History Length,Lunghezza cronologia password
Password Last Set,Ultima password impostata
Password Properties,Proprietà password
Permissions Change,Modifica autorizzazioni
Port,Porta
Pre-Authentication Type,Tipo di preautenticazione
Previous Time,Ora precedente
Primary Domain,
Primary Group ID,ID gruppo principale
Primary Logon ID,
Primary User Name,
Privileges,Privilegi
Process Command Line,Riga di comando processo
Process ID,ID processo
Process Information,Informazioni processo
Process Information,Informazioni sul processo
Process Name,Nome processo
Process,Processo
Profile Path,Percorso profilo
Protocol,Protocollo
Proxy Policy Name,Nome criteri proxy
Quarantine Grace Time,Periodo di prova quarantena
Quarantine Information,Informazioni sulla quarantena
RADIUS Client,Client RADIUS
Read Operation,Operazione di lettura
Reason Code,Codice motivo
Reason,Motivo
Resource Manager,Gestore risorse
Restricted Admin Mode,Modalità amministrativa limitata
Result Code,Codice risultato
Result,Risultato
RM Transaction ID,ID transazione gestore risorse
SAM Account Name,Nome account SAM
Script Path,Percorso script
Security ID,ID sicurezza
Server Information,Informazioni server
Server Names,Nomi server
Service ID,ID servizio
Service Information,Informazioni sul servizio
Service Name,Nome servizio
Service Principal Names,Nomi delle entità servizio
Session ID,ID sessione
Session Identifier,Identificatore di sessione
Share Information,Informazioni condivisione
Share Information,Informazioni sulla condivisione
Share Name,Nome condivisione
Share Path,Percorso condivisione
SID History,Cronologia SID
SID List,Elenco SID
Signature Settings,Impostazioni di firma
Source Address,Indirizzo di origine
Source Network Address,Indirizzo di rete di origine
Source Network Address,Indirizzo rete di origine
Source Port,Porta di origine
Source Workstation,Workstation di origine
SPN Name,Nome principale di servizio (SPN)
Status,Stato
Sub Status,Stato secondario
Subject,Oggetto
Subject,Soggetto
Supplied Realm Name,Nome area di autenticazione fornito
Syntax (OID),Sintassi (OID)
System Event Logging,Registrazione eventi di sistema
System Health Validator Result(s),Risultati Convalida integrità sistema
Target Account ID,
Target Account Name,
Target Account,Account di destinazione
Target Computer,Computer di destinazione
Target Domain,
Target Process ID,ID processo di destinazione
Target Process Name,Nome processo di destinazione
Target Process,Processo di destinazione
Target Server Name,Nome server di destinazione
Target Server,Server di destinazione
Target Subject,Soggetto destinazione
Target User Name,
Test Signing,Firma test
The domain controller attempted to validate the credentials for an account,
The workstation was locked,
The workstation was unlocked,
Ticket Encryption Type,Tipo crittografia ticket
Ticket Options,Opzioni ticket
Token Elevation Type,Tipo elevazione token
Transaction ID,ID transazione
Transaction Information,Informazioni sulla transazione
Transited Services,Servizi transitati
Tree Delete,Eliminazione albero
Type,Tipo
User Account Control,Controllo account utente
User Domain,
User ID,ID utente
User Name,Nome utente
User Parameters,Parametri utente
User Principal Name,Nome entità utente
User Workstations,Workstation utente
User,Utente
Value,Valore
Vendor IDs,ID fornitore
Virtual Account,Account virtuale
VSM Launch Type,Tipo di avvio VSM
Workstation Name,Nome workstation
