Original Security Descriptor,元のセキュリティ記述子
OS-Version,OS バージョン
Package Name (NTLM only),パッケージ名 (NTLM のみ)
Password History Length,パスワード履歴の長さ
Password Last Set,最後に設定されたパスワード
Password Properties,パスワードのプロパティ
Permissions Change,アクセス許可の変更
Port,ポート
Pre-Authentication Type,事前認証の種類
Previous Time,前の時刻
Primary Domain,
Primary Group ID,プライマリ グループ ID
Primary Logon ID,
Primary User Name,
Privileges,特権
Process Command Line,プロセスのコマンド ライン
Process ID,プロセス ID
Process Information,プロセス情報
Process Name,プロセス名
Process,プロセス
Profile Path,プロファイル パス
Protocol,プロトコル
Proxy Policy Name,プロキシ ポリシー名
Quarantine Grace Time,検疫の猶予期間
Quarantine Information,検疫情報
RADIUS Client,RADIUS クライアント
Read Operation,読み取り操作
Reason Code,理由コード
Reason,理由
Resource Manager,リソース マネージャー
Restricted Admin Mode,制限付き管理モード
Result Code,結果コード
Result,結果
RM Transaction ID,RM トランザクション ID
SAM Account Name,SAM アカウント名
Script Path,スクリプトのパス
Security ID,セキュリティ ID
Server Information,サーバー情報
Server Names,サーバー名
Service ID,サービス ID
Service Information,サービス情報
Service Name,サービス名
Service Principal Names,サービス プリンシパル名
Session ID,セッション ID
Session Identifier,セッション ID
Share Information,共有情報
Share Name,共有名
Share Path,共有パス
SID History,SID の履歴
SID List,SID の一覧
Signature Settings,署名の設定
Source Address,送信元アドレス
Source Network Address,ソース ネットワーク アドレス
Source Port,ソース ポート
Source Workstation,ソース ワークステーション
SPN Name,SPN 名
Status,状態
Sub Status,サブ ステータス
Subject,サブジェクト
Subject,件名
Supplied Realm Name,提供された領域名
Syntax (OID),構文 (OID)
System Event Logging,システム イベント ログ
System Health Validator Result(s),システム正常性検証ツールの結果
Target Account ID,
Target Account Name,
Target Account,ターゲット アカウント
Target Computer,ターゲット コンピューター
Target Domain,
Target Process ID,ターゲット プロセス ID
Target Process Name,ターゲット プロセス名
Target Process,ターゲット プロセス
Target Server Name,ターゲット サーバー名
Target Server,ターゲット サーバー
Target Subject,ターゲット サブジェクト
Target User Name,
Test Signing,テスト署名
The domain controller attempted to validate the credentials for an account,
The workstation was locked,
The workstation was unlocked,
Ticket Encryption Type,チケット暗号化の種類
Ticket Options,チケット オプション
Token Elevation Type,トークン昇格の種類
Transaction ID,トランザクション ID
Transaction Information,トランザクション情報
Transited Services,移行されたサービス
Tree Delete,ツリー削除
Type,種類
User Account Control,ユーザー アカウント制御
User Domain,
User ID,ユーザー ID
User Name,ユーザー名
User Parameters,ユーザー パラメーター
User Principal Name,ユーザー プリンシパル名
User Workstations,ユーザー ワークステーション
User,ユーザー
Value,値
Vendor IDs,ベンダー ID
Virtual Account,仮想アカウント
VSM Launch Type,VSM 起動の種類
Workstation Name,ワークステーション名
