Load Options,Opciones de carga
Location Information,Información de la ubicación
Location Information,Información de ubicación
Lockout Duration,Duración del bloqueo
Lockout Observation Window,Ventana de observación de bloqueo
Lockout Threshold,Umbral de bloqueo
Logging Results,Resultados de registro
Logon Account,Cuenta de inicio de sesi¾n
Logon Account,Cuenta de inicio de sesiÂ¾n
Logon Account,Cuenta de inicio de sesión
Logon GUID,GUID de inicio de sesi¾n
Logon GUID,GUID de inicio de sesiÂ¾n
Logon GUID,GUID de inicio de sesión
Logon Hours,Horas de inicio de sesión
Logon ID,Id. de inicio de sesi¾n
Logon ID,Id. de inicio de sesiÂ¾n
Logon ID,Id. de inicio de sesión
Logon ID,Identificador de inicio de sesión
Logon Information,Información de inicio de sesión
Logon Process Name,
Logon Process,Proceso de inicio de sesi¾n
Logon Process,Proceso de inicio de sesiÂ¾n
Logon Process,Proceso de inicio de sesión
Logon Type,Tipo de inicio de sesi¾n
Logon Type,Tipo de inicio de sesiÂ¾n
Logon Type,Tipo de inicio de sesión
Machine Account Quota,Cuota de cuenta de equipo
Mandatory Label,Etiqueta obligatoria
Max. Password Age,Vigencia máxima de la contraseña
Member,Miembro
Min. Password Age,Vigencia mínima de la contraseña
Min. Password Length,Longitud mínima de contraseña
Mixed Domain Mode,Modo de dominio mixto
Name,Nombre
NAS Identifier,Identificador NAS
NAS IPv4 Address,Dirección IPv4 NAS
NAS IPv6 Address,Dirección IPv6 NAS
NAS Port,Puerto NAS
NAS Port-Type,Tipo de puerto NAS
Network Account Domain,Dominio de cuenta de red
Network Account Name,Nombre de cuenta de red
Network Address,Dirección de red
Network Information,Informaci¾n de red
Network Information,InformaciÂ¾n de red
Network Information,Información de red
Network Policy Name,Nombre de directiva de red
Network Policy Name,Nombre de directiva red
New Account Name,Nuevo nombre de cuenta
New Account,Nueva cuenta
New Computer Account,Nueva cuenta de equipo
New DN,Nuevo DN
New Group,Nuevo grupo
New Handle ID,
New Logon,Nuevo inicio de sesi¾n
New Logon,Nuevo inicio de sesiÂ¾n
New Logon,Nuevo inicio de sesión
New Maxusers,Usuarios máximos nuevos
New Process ID,Id. de nuevo proceso
New Process ID,Identificador del nuevo proceso
New Process Name,Nombre de nuevo proceso
New Process Name,Nombre del nuevo proceso
New Remark,Nota nueva
New SD,Descriptor de seguridad nuevo
New Security Descriptor,Nuevo descriptor de seguridad
New ShareFlags,Marcas de recurso compartido nuevas
New State,Nuevo estado
New Time,Nueva hora
New Token Information,Información de nuevo símbolo
New UAC Value,Nuevo valor de UAC
Object Handle,
Object Name,Nombre de objeto
Object Name,Nombre del objeto
Object Server,Servidor del objeto
Object Type,Tipo de objeto
Object,Objeto
OEM Information,Información de OEM
Old Account Name,Anterior nombre de cuenta
Old DN,Anterior DN
Old MaxUsers,Usuarios máximos anteriores
Old Remark,Nota anterior
Old SD,Descriptor de seguridad anterior
Old ShareFlags,Marcas de recurso compartido anteriores
Old UAC Value,Valor de UAC anterior
