Logging Results,Protokollierungsergebnisse
Logon Account,Anmeldekonto
Logon GUID,Anmelde-GUID
Logon Hours,Anmeldezeiten
Logon ID,Anmelde-ID
Logon Information,Anmeldeinformationen
Logon Process Name,
Logon Process,Anmeldeprozess
Logon Type,Anmeldetyp
Machine Account Quota,Computerkontokontingent
Mandatory Label,Verbindliche Beschriftung
Max. Password Age,Max. Kennwortalter
Member,Mitglied
Min. Password Age,Min. Kennwortalter
Min. Password Length,Min. Kennwortlänge
Mixed Domain Mode,Gemischter Domänenmodus
NAS Identifier,NAS-ID
NAS IPv4 Address,NAS-IPv4-Adresse
NAS IPv6 Address,NAS-IPv6-Adresse
NAS Port,NAS-Port
NAS Port-Type,NAS-Porttyp
Network Account Domain,Netzwerk-Kontodomäne
Network Account Name,Netzwerk-Kontoname
Network Address,Netzwerkadresse
Network Information,Netzwerkinformationen
Network Policy Name,Netzwerkrichtlinienname
New Account Name,Neuer Kontoname
New Account,Neues Konto
New Computer Account,Neues Computerkonto
New DN,Neuer DN
New Group,Gruppe
New Group,Neue Gruppe
New Handle ID,
New Logon,Neue Anmeldung
New Maxusers,Neuer Wert für maximale Benutzer
New Process ID,ID des neuen Prozesses
New Process ID,Neue Prozess-ID
New Process Name,Neuer Prozessname
New Remark,Neue Bemerkung
New SD,SD neu
New Security Descriptor,Neue Sicherheitsbeschreibung
New ShareFlags,Neues Freigabekennzeichen
New State,Neuer Status
New Time,Neue Zeit
New Token Information,Neue Tokeninformationen
New UAC Value,Neuer Benutzerkontensteuerungswert
Number of Elements,Anzahl von Elementen
Object Handle,
Object Name,Objektname
Object Server,Objektserver
Object Type,Objekttyp
Object,Objekt
OEM Information,OEM-Informationen
Old Account Name,Alter Kontoname
Old DN,Alter DN
Old MaxUsers,Alter Wert für maximale Benutzer
Old Remark,Alte Bemerkung
Old SD,SD alt
Old ShareFlags,Altes Freigabekennzeichen
Old UAC Value,Alter Benutzerkontensteuerungswert
Operation Type,Vorgangstyp
Operation,Vorgang
Original Security Descriptor,Originalsicherheitsbeschreibung
Original Security Descriptor,Ursprüngliche Sicherheitsbeschreibung
OS-Version,Betriebssystemversion
OS-Version,Betriebsystemversion
Package Name (NTLM only),Paketname (nur NTLM)
Password History Length,Kennwortverlaufslänge
Password Last Set,Letzte Kennwortänderung
Password Last Set,Letzte Kennwortõnderung
Password Properties,Kennworteigenschaften
Permissions Change,Berechtigungsänderung
Policy ID,Richtlinienkennung
Pre-Authentication Type,Typ vor der Authentifizierung
Previous Time,Vorherige Zeit
Primary Domain,
Primary Group ID,Primäre Gruppen-ID
Primary Group ID,Primõre Gruppen-ID
Primary Logon ID,
Primary User Name,
Privileges,Berechtigungen
Privileges,Rechte
Process Command Line,Prozessbefehlszeile
Process ID,Prozess-ID
Process Information,Prozessinformationen
Process Name,Prozessname
Process,Prozess
Profile Path,Profilpfad
Properties,Zeigt die Eigenschaften an.
Protocol,Protokoll
Provider Name,Anbietername
Proxy Policy Name,Proxyrichtlinienname
Quarantine Grace Time,Quarantäne-Aktivierungszeitraum
Quarantine Information,Quarantäneinformationen
RADIUS Client,RADIUS-Client
Read Operation,Lesevorgang
Reason Code,Ursachencode
Reason,Ursache
Resource Manager,Ressourcen-Manager
Restricted Admin Mode,Eingeschränkter Administratormodus
Result Code,Ergebniscode
Result,Ergebnis
Return Code,R³ckgabecode
RM Transaction ID,RM-Transaktions-ID
SAM Account Name,SAM-Kontoname
Script Path,Skriptpfad
Security ID,Sicherheits-ID
Server Information,Serverinformationen
Server Names,Servernamen
Service ID,Dienst-ID
Service Information,Dienstinformationen
Service Name,Dienstname
Service Principal Names,Dienstprinzipalname
Session ID,Sitzungs-ID
Session Identifier,Sitzungs-ID
Share Information,Freigabeinformationen
Share Name,Freigabename
Share Path,Freigabepfad
SID History,SID-Verlauf
SID List,SID-Liste
Signature Settings,Signatureinstellungen
Source Address,Quelladresse
Source Name,Quellenname
Source Network Address,Quellnetzwerkadresse
Source Port,Quellanschluss
Source Port,Quellport
Source Workstation,Arbeitsstation
SPN Name,SPN-Name
Sub Status,Unterstatus
Subject,Antragsteller
Supplied Realm Name,Angegebener Bereichsname
System Event Logging,Systemereignisprotokollierung
System Health Validator Result(s),Verifizierungsergebnis(se) der Systemintegrität
Target Account ID,
Target Account Name,
Target Account,Zielkonto
Target Computer,Zielcomputer
Target Domain,
Target Process ID,Zielprozess-ID
Target Process Name,Zielprozessname
Target Process,Zielprozess
Target Server Name,Zielservername
Target Server,Zielserver
Target Subject,Zielantragsteller
Target User Name,
Test Signing,Testsignatur
The domain controller attempted to validate the credentials for an account,
The workstation was locked,
The workstation was unlocked,
Ticket Encryption Type,Ticketverschl³sselungstyp
Ticket Encryption Type,Ticketverschlüsselungstyp
Ticket Options,Ticketoptionen
Token Elevation Type,Tokenerhöhungstyp
Transaction ID,Transaktion-ID
Transaction Information,Transaktionsinformationen
Transited Services,Durchlaufene Dienste
Transited Services,Übertragene Dienste
Transited Services,▄bertragene Dienste
Tree Delete,Löschen der Struktur
Type,Typ
User Account Control,Benutzerkontensteuerung
User Domain,
User ID,Benutzer-ID
User Name,Benutzername
User Parameters,Benutzerparameter
User Principal Name,Benutzerprinzipalname
User Workstations,Benutzerarbeitsstationen
User,Benutzer
Value,Wert
Vendor IDs,Anbieter-IDs
Virtual Account,Virtuelles Konto
VSM Launch Type,VSM-Starttyp
Workstation Name,Arbeitsstationsname
