NAS IPv4 Address,IPv4-адрес NAS
NAS IPv4 Address,Адрес IPv4 NAS
NAS IPv6 Address,IPv6-адрес NAS
NAS IPv6 Address,Адрес IPv6 NAS
NAS Port,Порт NAS
NAS Port-Type,Тип порта NAS
Network Account Domain,Сетевой домен учетной записи
Network Account Name,Сетевое имя учетной записи
Network Address,Сетевой адрес
Network Information,Сведения о сети
Network Policy Name,Имя политики сети
Network Policy Name,Имя сетевой политики
New Account Name,Новое имя учетной записи
New Account,Новая учетная запись
New Computer Account,Новая учетная запись компьютера
New DN,Новый DN
New Group,Новая группа
New Logon,Новый вход
New Maxusers,Новое максимальное число пользователей
New Process ID,ИД нового процесса
New Process Name,Имя нового процесса
New Remark,Новое примечание
New Right,Новое право
New SD,Новый дескриптор безопасности
New Security Descriptor,Новый дескриптор безопасности
New ShareFlags,Новые флаги общего ресурса
New State,Новое состояние
New Time,Новое время
New Token Information,Сведения о новом маркере
New Token Information,Сведения о новом токене
New Trust Information,Новые сведения о доверии
New UAC Value,Новое значение UAC
New Value Type,Тип нового значения
New Value,Новое значение
Node,Узел
Number of Elements,Число элементов
Object Handle,Дескриптор объекта
Object Name,Имя объекта
Object Server,Сервер объекта
Object Type,Тип объекта
Object Value Name,Имя значения объекта
Object,Объект
OEM Information,Сведения об изготовителе оборудования (OEM)
Old Account Name,Старое имя учетной записи
Old DN,Старый DN
Old MaxUsers,Предыдущее максимальное число пользователей
Old Remark,Предыдущее примечание
Old SD,Предыдущий дескриптор безопасности
Old ShareFlags,Предыдущие флаги общего ресурса
Old UAC Value,Старое значение UAC
Old Value Type,Тип старого значения
Old Value,Старое значение
Operation Type,Тип операции
Operation,Операция
Options,Параметры
Original Security Descriptor,Исходный дескриптор безопасности
OS-Version,Версия ОС
Package Name (NTLM only),Имя пакета (только NTLM)
Parameter 1,Параметр 1
Parameter 2,Параметр 2
Password History Length,Длина журнала паролей
Password Last Set,Последний пароль задан
Password Properties,Свойства пароля
Peer MAC Address,MAC-адрес узла
Peer MAC Address,Одноранговый MAC-адрес
Permissions Change,Изменение разрешений
Policy Change Details,Сведения об изменении политики
Policy For Account,Политика для учетной записи
Policy ID,Идентификатор политики
Policy,Политика
Port,Порт
Pre-Authentication Type,Тип предварительной проверки подлинности
Previous Time,Предыдущее время
Primary Group ID,Идентификатор основной группы
Private Key Usage Count,Счетчик использования закрытого ключа
Privileges Used for Access Check,"Привилегии, использованные для проверки доступа"
Privileges Used for Access Check,"Привилегии, используемые для проверки доступа"
Privileges,Привилегии
Process Command Line,Командная строка процесса
Process ID,ИД процесса
Process ID,Идентификатор процесса
Process Information,Сведения о процессе
Process Name,Имя процесса
Process,Процесс
Profile Path,Путь к профилю
Properties,Свойства
Property,Свойство
Protocol,Протокол
Provided Account Name (unauthenticated),Предоставленное имя учетной записи (без проверки подлинности)
Proxy Policy Name,Имя политики запроса на подключение
Quarantine Grace Time,Льготное время карантина
Quarantine Information,Cведения о карантине
Quarantine Information,Сведения о карантине
RADIUS Client,RADIUS-клиент
Read Operation,Операция чтения
Reason Code,Код причины
Reason,Причина
Relative Target Name,Относительное имя конечного объекта
Request ID,Идентификатор запроса
Requested Operation,Запрошенная операция
Requester,Запросивший
Resource Attributes,Атрибуты ресурса
Resource Manager,Диспетчер ресурсов
Restricted Admin Mode,Ограниченный режим администрирования
Restricted SID Count,Число ограниченных ИД безопасности
Result Code,Код результата
Result,Результат
RM Transaction ID,Идентификатор транзакции службы RM
Rows Deleted,Удалено строк
SAM Account Name,Имя учетной записи SAM
Script Path,Путь к сценарию
Security ID,ИД безовапсности
Security ID,ИД безопасности
Security ID,Идентификатор безопасности
Security ID,Код безопасности
Serial Number,Серийный номер
Server Information,Сведения о сервере
Server Names,Имена серверов
Server,Сервер
Service Account,Учетная запись службы
Service File Name,Имя файла службы
Service ID,Идентификатор службы
Service ID,Код службы
Service Information,Сведения о службе
Service Name,Имя службы
Service Principal Names,Основные имена служб
Service Request Information,Сведения о запросе службы
Service Start Type,Тип запуска службы
Service Type,Тип службы
Service,Служба
Session ID,Код сеанса
Session Identifier,Идентификатор сеанса
Session Name,Имя сеанса
Session,Сеанс
Share Information,Сведения об общем ресурсе
Share Name,Имя общего ресурса
Share Name,имя общего ресурса
Share Path,Путь к общему ресурсу
SID Filtering,Фильтрация ИД безопасности
SID History,Журнал SID
SID List,Список SID
SID List,Список ИД безопасности
Signature Settings,Параметры подписи
Source Account,Исходная учетная запись
Source Address,Адрес источника
Source DRA,Исходный DRA
Source Name,Имя источника
Source Network Address,Сетевой адрес источника
Source Port,Порт источника
Source Workstation,Исходная рабочая станция
SPN Name,Имя SPN
Status Code,Код состояния
Status,Состояние
Sub Status,Подсостояние
Subcategory GUID,GUID подкатегории
Subcategory,Подкатегория
Subject,Предмет
Subject,Субъект
Supplied Realm Name,Предоставленное имя сферы
Syntax (OID),Синтаксис (OID)
System Event Logging,Ведение журнала событий системы
System Health Validator Result(s),Результат(ы) средства проверки работоспособности системы
Table ID,Идентификатор таблицы
Target Account,Конечная учетная запись
Target Account,Целевая учетная запись
Target Computer,Конечный компьютер
Target Computer,Целевой компьютер
Target Process ID,Код конечного процесса
Target Process Name,Имя конечного процесса
Target Process,Конечный процесс
Target Server Name,Имя целевого сервера
Target Server,Целевой сервер
Target Subject,Целевой субъект
Task Content,Содержание задачи
Task Information,Сведения о задаче
Task Name,Имя задачи
Task New Content,Новое содержание задачи
Test Signing,Подпись теста
Ticket Encryption Type,Тип шифрования билета
Ticket Options,Параметры билета
Token Elevation Type,Тип повышения прав маркера
Token Elevation Type,Тип уровня токена
Transaction ID,Код транзакции
Transaction Information,Сведения о транзакции
Transited Services,Промежуточные службы
Transited Services,Службы передачи
Tree Delete,Удаление дерева
Trust Attributes,Атрибуты доверия
Trust Direction,Направление доверия
Trust Information,Сведения о доверии
Trust Type,Тип доверия
Trusted Domain,Доверенный домен
Type,Тип
User Account Control,Управление учетной записью пользователя
User ID,Идентификатор пользователя
User initiated logoff,"Выход, запрошенный пользователем"
User Name,Имя пользователя
User Parameters,Параметры пользователя
User Principal Name,Основное имя пользователя
User Right,Право пользователя
User Workstations,Рабочие станции пользователя
User,Пользоваль
User,Пользователь
Value,Значение
Vendor IDs,ИД поставщиков
Virtual Account,Виртуальная учетная запись
VSM Launch Type,Тип запуска VSM
Workstation Name,Имя рабочей станции
