Original Security Descriptor,원래 보안 설명자
OS-Version,OS 버전
Package Name (NTLM only),패키지 이름(NTLM 전용)
Password History Length,암호 기록 길이
Password Last Set,마지막 암호 설정
Password Properties,암호 속성
Permissions Change,권한 변경
Port,포트
Pre-Authentication Type,사전 인증 유형
Previous Time,이전 시간
Primary Domain,
Primary Group ID,기본 그룹 ID
Primary Logon ID,
Primary User Name,
Privileges,권한
Process Command Line,프로세스 명령줄
Process ID,프로세스 ID
Process ID,프로세스ID
Process Information,프로세스 정보
Process Name,프로세스 이름
Process,프로세스
Profile Path,프로필 경로
Protocol,프로토콜
Proxy Policy Name,프록시 정책 이름
Quarantine Grace Time,격리 유예 기간
Quarantine Information,격리 정보
RADIUS Client,RADIUS 클라이언트
Read Operation,읽기 작업
Reason Code,이유 코드
Reason,이유
Resource Manager,리소스 관리자
Restricted Admin Mode,제한된 관리 모드
Result Code,결과 코드
Result,결과
RM Transaction ID,RM 트랜잭션 ID
SAM Account Name,SAM 계정 이름
Script Path,스크립트 경로
Security ID,보안 ID
Security ID,사용자 SID
Security ID,주체 보안 ID
Server Information,서버 정보
Server Names,서버 이름
Service ID,서비스 ID
Service Information,서비스 정보
Service Name,서비스 이름
Service Principal Names,서비스 사용자 이름
Session ID,세션 ID
Session Identifier,세션 식별자
Share Information,공유 정보
Share Name,공유 이름
Share Path,공유 경로
SID History,SID 기록
SID List,SID 목록
Signature Settings,서명 설정
Source Address,원본 주소
Source Network Address,원본 네트워크 주소
Source Port,원본 포트
Source Workstation,원본 워크스테이
SPN Name,SPN 이름
Status,상태
Sub Status,하위 상태
Subject,주체
Supplied Realm Name,제공된 영역 이름
Syntax (OID),구문(OID)
System Event Logging,시스템 이벤트 로깅
System Health Validator Result(s),시스템 상태 검사기 결과
Target Account ID,
Target Account Name,
Target Account,대상 계정
Target Computer,대상 컴퓨터
Target Domain,
Target Process ID,대상 프로세스 ID
Target Process Name,대상 프로세스 이름
Target Process,대상 프로세스
Target Server Name,대상 서버 이름
Target Server,대상 서버
Target Subject,대상 주체
Target User Name,
Test Signing,테스트 서명
The domain controller attempted to validate the credentials for an account,
The workstation was locked,
The workstation was unlocked,
Ticket Encryption Type,암호화 유형
Ticket Encryption Type,티켓 암호화 유형
Ticket Options,티켓 옵션
Token Elevation Type,토큰 상승 유형
Transaction ID,트랜잭션 ID
Transaction Information,트랜잭션 정보
Transited Services,전송된 서비스
Tree Delete,트리 삭제
Type,유형
User Account Control,사용자 계정 컨트롤
User Domain,
User ID,사용자 ID
User Name,사용자 이름
User Parameters,사용자 매개 변수
User Principal Name,UPN(사용자 계정 이름)
User Workstations,사용자 워크스테이션
User,사용자
Value,값
Vendor IDs,공급업체 ID
Virtual Account,가상 계정
VSM Launch Type,VSM 시작 유형
Workstation Name,워크스테이션 이름
